id,name,darreichung,status,verweis,artikelnummer,pharmacode,ean,abgabekategorie,zulassungsnummer,csl
687,"Rauwolfia serpentina, ethanol. Decoctum D1",Tropfen zum Einnehmen 50 ml,Lieferbar,,124770,1035850,7611916163920,FM / SL,,2069591
688,"Rauwolfia serpentina, ethanol. Decoctum D3",Tropfen zum Einnehmen 50 ml,Lieferbar,,124169,1101431,7611916163340,B / SL,59738,2069674
689,Realgar D10,Injektionslösung 8 Amp.,Lieferbar,,116046,1325081,7611916115417,B / SL,404662,8x2070654
690,Realgar D10,Pulver zum Einnehmen 50 g,Lieferbar,,124732,5135911,7611916148408,FM / nach ALT,,
691,Realgar D30,Injektionslösung 8 Amp.,Lieferbar,,116004,4134803,7611916115059,B / SL,404662,8x2070677
692,Resina Laricis D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,205748,5135934,7611916148415,FM / SL,,2069674
693,Resina Laricis comp.,Crème 23 g,Lieferbar,,124983,7808906,7611916161117,FM / nach ALT,,
694,Retina D10,Injektionslösung 8 Amp.,Lieferbar,,116021,4137457,7611916115189,B / SL,404673,8x2070654
695,Retina D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,205751,5135957,7611916148446,FM / SL,,2069734
696,"Rheum rhaponticum 0,6%",Crème 30 ml,Lieferbar,,116060,7759080,7611916160233,FM / nach ALT,,
697,"Rheum rhaponticum 0,4%",Crème 30 ml,Lieferbar,,116011,5035204,7611916153228,FM / nach ALT,,
698,"Rheum rhaponticum 0,4% (3g)",Vaginalzäpfchen 10 st,Lieferbar,,124549,5984863,7611916154218,FM / nach ALT,,
699,Rheum rhaponticum D2,Crème 30 ml,Lieferbar,,116047,4137486,7611916124211,FM / nach ALT,,
700,Rhinodoron®,Nasenspray mit Aloe vera 20 ml,Lieferbar,,9705,7784273,4001638065085,MD / -,,
701,Rhus toxicodendron 5%,Crème 25 g,Lieferbar,,124982,7838663,7611916161100,FM / nach ALT,,
702,Rhus toxicodendron D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,206032,5064393,7611916140297,FM / SL,,2069674
703,Rhus toxicodendron D6,Globuli 4 g,Lieferbar,,100397,1121264,7611916164187,FM / SL,,2069645
704,Rhus toxicodendron D6,Injektionslösung 8 Amp.,Lieferbar,,116024,4137747,7611916115240,B / SL,59632,8x2070631
705,Rhus toxicodendron D12,Tropfen zum Einnehmen 50 ml,Lieferbar,,205754,5135986,7611916148477,FM / SL,,2069734
706,Rhus toxicodendron D30,Injektionslösung 8 Amp.,Lieferbar,,116026,4137730,7611916115288,B / SL,59632,8x2070677
707,Rosmarini aetheroleum 10%,Crème 25 g,Wieder lieferbar,,124470,1162582,7611916165115,D,419365,2070140
708,Rosmarinus recens D3,Tropfen zum Einnehmen 50 ml,Gestrichen,,124660,7765292,7611916159534,D,403684,2069674
709,"Rosmarinus, Infusum D4",Injektionslösung 8 Amp.,Lieferbar,,124328,5313554,7611916151590,B / SL,59571,8x2070631
710,Rubellit D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,205986,7837479,7611916161919,FM / SL,,2069734
711,Ruta graveolens 10%,Crème 25 g,Lieferbar,,116044,7837817,7611916161551,FM / nach ALT,,
712,Ruta graveolens D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,205766,5139257,7611916148590,FM / SL,,2069674
713,Ruta graveolens D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,205767,5139263,7611916148606,FM / SL,,2069674
714,"Sambucus nigra, Flos, ethanol. Infusum D3",Globuli 4 g,Gestrichen,,117190,1607276,7611916116889,D,414838,2069645
715,"Schnupfencrème, Weleda",Salbe 6.5 ml,Nicht lieferbar (Verlagerung zum Lohnhersteller),,6400,930874,7680092320366,D / -,09232,
716,Scilla comp.,Tropfen zum Einnehmen 50 ml,Nicht lieferbar,,205965,7795369,7611916161186,FM / SL,,2070329
717,Sepia comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,124441,5064401,7611916153068,D / SL,415020,2070329
718,Siderit D6,Pulver zum Einnehmen 50 g,Lieferbar,,124696,1019839,7611916162763,FM / nach ALT,,
719,"Silber-Textil-Folie, ORBIS",,Lieferbar,,77720,7767325,7611916357787,,,
720,Silex-Lapis Cancri solutus D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,124443,4137859,7611916153075,D / SL,414024,2069674
721,Silex-Lapis Cancri solutus D15,Tropfen zum Einnehmen 50 ml,Lieferbar,,124913,1034096,7611916163067,FM / SL,,2069734
725,Sinudoron®,Dilution 50 ml,Gestrichen (Weiterhin verfügbar als zugelassenes Arzneimittel ohne Indikation Argentum / Berberis comp.),,6300,6121785,7680631470019,D,63147,
726,Skorodit D6,Pulver zum Einnehmen 50 g,Lieferbar,,124703,1033469,7611916162770,FM / nach ALT,,
727,Skorodit D8,Injektionslösung 8 Amp.,Lieferbar,,117027,4137902,7611916115769,B / SL,405044,8x2070631
728,Skorodit D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,124914,5140906,7611916148897,FM / SL,,2069734
729,Skorodit D20,Tropfen zum Einnehmen 50 ml,Lieferbar,,205798,5143046,7611916148910,FM / SL,,2069734
730,Skorodit D30,Injektionslösung 8 Amp.,Lieferbar,,117030,4137888,7611916115820,B / SL,405044,8x2070677
731,Solutio alkalina 5%,Tropfen zum Einnehmen 20 ml,Lieferbar,,2704,5158007,7611916136504,D / SL,59621,2069651
732,Solutio Ferri comp. D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,124457,1048185,7611916163524,D / SL,418386,2070329
733,Solutio Ferri comp. D6,Tropfen zum Einnehmen 50 ml,Gestrichen (Lieferbar: D3),,124591,7717936,7611916158643,D,404066,2070329
734,Solutio Sacchari comp. D3,,,Compositio Mineralis cum Saccharo D3,,,,,,
735,Solutio Siliceae comp. D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,205815,5152223,7611916149085,FM / SL,,2070329
736,Solutio Siliceae comp. D6,Injektionslösung 8 Amp.,Lieferbar,,124331,4107290,7611916151620,B / SL,404632,8x2070565
737,Solutio Siliceae comp. D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,124798,1034253,7611916163081,FM / SL,,2070329
738,Solutio Siliceae comp. D15,Injektionslösung 8 Amp.,Lieferbar,,124295,4107284,7611916151262,B / SL,404632,8x2070588
739,Solutio Siliceae comp. D15,Tropfen zum Einnehmen 50 ml,Lieferbar,,124915,1034252,7611916163074,FM / SL,,2070370
740,Stannum mellitum D20,Pulver zum Einnehmen 50 g,Lieferbar,,124733,1033470,7611916162787,FM / nach ALT,,
741,Stannum metallicum 5%,Salbe 23 g,Lieferbar,,124178,1170120,7611916166693,FM / ALT,,
742,"Stannum metallicum 0,4%",Crème 25 g,Lieferbar,,124004,1153194,7611916165689,FM / nach ALT,,
743,"Stannum metallicum 0,4%",Crème 70 g,"Gestrichen (ORBIS Zinn-Textil-Folie verfügbar (Gebrauchsgegenstand, Pharmacode 7767327)))",,100633,7301963,7611916157226,D / SL,59831,2070157
744,Stannum metallicum praeparatum D8,Injektionslösung 8 Amp.,Lieferbar,,117054,4107396,7611916116124,B / SL,404613,8x2070631
745,Stannum metallicum praeparatum D8,Augentropfen 10 ml,Lieferbar,,117244,7478472,7611916157158,D / -,406303,
746,Stannum metallicum praeparatum D8,Tropfen zum Einnehmen 50 ml,Lieferbar,,124916,5139837,7611916149269,FM / SL,,2069674
747,Stannum metallicum praeparatum D8,Pulver zum Einnehmen 50 g,Lieferbar,,124736,7826084,7611916161698,FM / nach ALT,,
748,Stannum metallicum praeparatum D10,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: D8),,124276,4107350,7611916151064,B / SL,404613,8x2070654
749,Stannum metallicum praeparatum D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,205834,5153808,7611916149276,FM / SL,,2069734
750,Stannum metallicum praeparatum D12,Pulver zum Einnehmen 50 g,Lieferbar,,124734,1033471,7611916162794,FM / nach ALT,,
751,Stannum metallicum praeparatum D20,Pulver zum Einnehmen 50 g,Lieferbar,,124735,1033472,7611916162800,FM / nach ALT,,
752,Stannum metallicum praeparatum D30,Injektionslösung 8 Amp.,Lieferbar,,124296,4107373,7611916151279,B / SL,404613,8x2070677
753,Stannum metallicum praeparatum D8 / Succinum D8 aa,Augentropfen 10 ml,Wieder lieferbar,,117243,7722908,7611916157127,D / -,59976,
754,Stannum comp.,Pulver zum Einnehmen 50 g,Lieferbar,,124445,5065576,7611916153099,D / -,414020,
758,Stibium arsenicosum D6,Pulver zum Einnehmen 50 g,Lieferbar,,124627,7717830,7611916159008,D / -,403914,
759,Stibium arsenicosum D8,Injektionslösung 8 Amp.,Lieferbar,,117101,4107491,7611916116575,B / SL,404671,8x2070631
760,Stibium arsenicosum D8,Tropfen zum Einnehmen 50 ml,Lieferbar,,206086,1008643,7611916163104,FM / SL,,2069674
761,Stibium arsenicosum D15,Injektionslösung 8 Amp.,Lieferbar,,124335,4107427,7611916151668,B / SL,404671,8x2070654
762,Stibium arsenicosum D15,Tropfen zum Einnehmen 50 ml,Lieferbar,,206085,1034254,7611916163098,FM / SL,,2069734
763,"Stibium metallicum praeparatum 0,4%",Salbe 23 g,Lieferbar,,124997,1170257,7611916164774,FM / nach ALT,,
764,Stibium metallicum praeparatum D6,Injektionslösung (i.v.) 5 Amp. à 10ml,Lieferbar,,117089,4107597,7611916116544,B / SL,59523,5x2070720
765,Stibium metallicum praeparatum D6,Injektionslösung 8 Amp.,Lieferbar,,117084,4107551,7611916116445,B / SL,59979,8x2070631
766,Stibium metallicum praeparatum D6,Tabletten 50 g,Lieferbar,,124528,5065607,7611916153495,D / SL,415141,2069674
767,Stibium metallicum praeparatum D6,Trituration 50 g,Gestrichen (Lieferbar: D6 Tabletten),,124446,5065613,7611916153105,D,414036,
768,Stibium metallicum praeparatum D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,205850,1035588,7611916163845,FM / SL,,2069674
769,Stibium metallicum praeparatum D20,Injektionslösung 8 Amp.,Lieferbar,,117087,4107539,7611916116506,B / SL,59979,8x2070654
770,Stibium metallicum praeparatum D30,Injektionslösung 8 Amp.,Lieferbar,,117088,4107545,7611916116520,B / SL,59979,8x2070677
773,"Strophanthus kombé, ethanol. Digestio D6",Tropfen zum Einnehmen 50 ml,Lieferbar,,205864,5140119,7611916149573,FM / SL,,2069674
774,Sulfur D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,205867,5140266,7611916149603,FM / SL,,2069674
775,Sulfur D12,Tropfen zum Einnehmen 50 ml,Lieferbar,,124875,5140183,7611916149627,FM / SL,,2069734
776,Sulfur D25,Tropfen zum Einnehmen 50 ml,Lieferbar,,124876,5140220,7611916149641,FM / SL,,2069734
778,Sylvin D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,125440,5140272,7611916149672,FM / SL,,2069674
779,"Symphytum, ethanol. Decoctum 5%",Unguentum 70 g,Gestrichen,,2787,5035598,7611916152054,D,60013,2070157
780,Symphytum comp. N,Tropfen zum Einnehmen 50 ml,Lieferbar,,124163,1122483,7611916161742,D / SL,68982,2070329
781,Tabacum D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,205878,5140970,7611916149719,FM / SL,,2069674
782,Tabacum D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,205879,5140935,7611916149726,FM / SL,,2069734
783,Tabacum D30,Tropfen zum Einnehmen 50 ml,Lieferbar,,124877,5140964,7611916149740,FM / SL,,2069800
784,Tabacum Cupro cultum Rh D3,Injektionslösung (s.c.) 8 Amp.,Nicht lieferbar (Tropfen zum Einnehmen lieferbar.),,124338,4108013,7611916151699,B / SL,59937,8x2070631
785,Tabacum Cupro cultum Rh D3,Tropfen zum Einnehmen 20 ml,Lieferbar,,124468,,76119161163777,B / SL,418548,2069651
786,Taraxacum Ø (= 50%),Tropfen zum Einnehmen 50 ml,Lieferbar,,206005,1006328,7611916162015,FM / SL,,2069591
787,Taraxacum D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,205884,5140993,7611916149771,FM / SL,,2069674
788,Taraxacum Stanno cultum Rh D2,Ampullen 8 st,Gestrichen (Lieferbar: Rh D3 Ampullen),,117080,4108214,7611916116360,B / SL,59520,8x2070631
789,Taraxacum Stanno cultum D2,Tropfen zum Einnehmen 50 ml,Lieferbar,,124957,5068161,7611916154119,D / SL,415330,2069674
790,Taraxacum Stanno cultum Rh D3,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,117081,4108220,7611916116384,B / SL,59520,8x2070631
791,Taraxacum Stanno cultum D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,124958,5141751,7611916154126,D / SL,415330,2069674
792,Taraxacum Stanno cultum Rh D3,Tropfen zum Einnehmen 20 ml,Lieferbar,,124469,1151891,7611916163784,D / SL,418545,2069651
793,Tartarus stibiatus D3,Pulver zum Einnehmen 50 g,Lieferbar,,205889,5141768,7611916149825,FM / nach ALT,,
794,Tartarus stibiatus D4,Injektionslösung 8 st,Gestrichen (Lieferbar: Tropfen D4),,124340,4099751,7611916151712,B / SL,59762,8x2070631
795,Tartarus stibiatus D4,Tropfen zum Einnehmen 50 ml,Lieferbar,,124848,5141774,7611916149801,FM / nach ALT,,2069674
796,Tartarus stibiatus D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,205888,5141780,7611916149818,FM / SL,,2069674
797,Tartarus stibiatus D6,Pulver zum Einnehmen 50 g,Lieferbar,,124448,5068190,7611916153129,D / -,414040,
798,Tartarus stibiatus comp.,Pulver zum Einnehmen 50 g,Lieferbar,,124447,5068178,7611916153112,D / -,414032,
799,Teucrium scorodonia D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,205891,5141805,7611916149849,FM / SL,,2069674
800,Thuja occidentalis 20%,Flüssigkeit zur Anwendung auf der Haut 100 ml,Lieferbar,,124513,4105109,7611916153341,D / SL,59940,2070128
801,Thuja occidentalis 10%,Crème 25 g,Lieferbar,,124984,7846796,7611916161124,FM / nach ALT,,
802,Thuja occidentalis D6,Tropfen zum Einnehmen 20 ml,Lieferbar,,124170,1048184,7611916163333,D / SL,59603,2069651
803,Thuja occidentalis D6,Globuli 4 g,Gestrichen (Lieferbar: Tropfen D6),,118100,1607342,7611916117275,D,412046,2069645
804,Thuja occidentalis D12,Tropfen zum Einnehmen 50 ml,Lieferbar,,206087,1034255,7611916163111,FM / SL,,2069734
805,Thuja occidentalis D30,Globuli 4 g,Gestrichen (Lieferbar: D12 Tropfen),,118115,1607365,7611916117312,D / SL,412046,2069763
806,Thuja occidentalis Argento culta Rh D3,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,124341,4099797,7611916151729,B / SL,59761,8x2070631
807,"Thuja occidentalis Argento culta 0,1%",Dilution 50 ml,Gestrichen (Thuja occidentalis Argento culta Rh D3 ist als Dilutio aquosa verfügbar (vergleichbare Konzentration).),,124145,5068221,7611916140457,,,2069674
808,Thuja occidentalis Argento culta Rh D3,Tropfen zum Einnehmen 20 ml,Lieferbar,,100162,4100388,7611916102752,D / SL,59737,2069651
809,Thuja comp.,Pulver zum Einnehmen 50 g,Lieferbar,,124153,6791669,7611916154300,B / -,59630,
810,"Tormentilla, ethanol. Decoctum D1",Tropfen zum Einnehmen 50 ml,Lieferbar,,205897,5145016,7611916149900,FM / SL,,2069591
811,"Tormentilla, ethanol. Decoctum D3",Tropfen zum Einnehmen 50 ml,Lieferbar,,205899,5145045,7611916149924,FM / SL,,2069674
812,Trabeculum comp. D6,Injektionslösung 8 Amp.,Lieferbar,,118030,4105285,7611916117251,B / SL,404645,8x2070565
813,Urtica dioica Ferro culta D2,Tropfen zum Einnehmen 50 ml,Lieferbar,,124164,1034958,7611916163173,D / SL,418225,2069674
814,Urtica dioica Ferro culta Rh D3,Tropfen zum Einnehmen 20 ml,Lieferbar,,124675,7826533,7611916160264,D / SL,417624,2069651
815,Vaginalsalben Applikator,,Lieferbar,,9951,5158013,7611916131264,,,
816,Vaucheria D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,206094,5068267,7611916163692,FM / SL,,2069674
817,"Veratrum album, ethanol. Decoctum D3",Tropfen zum Einnehmen 50 ml,Lieferbar,,124922,7842048,7611916162022,FM / SL,,2069674
818,"Veratrum album, ethanol. Decoctum D6",Tropfen zum Einnehmen 50 ml,Lieferbar,,206012,7842049,7611916162039,FM / SL,,2069674
819,"Veratrum album, ethanol. Decoctum D6",Globuli 4 g,Gestrichen (Lieferbar: Tropfen D6),,120105,1607388,7611916117855,D,412020,2069645
820,Verbascum comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,109042,4105368,7611916130076,D / SL,404640,2070275
821,"Veronica officinalis, ethanol. Decoctum D1",Tropfen zum Einnehmen 50 ml,Lieferbar,,206035,1034256,7611916162527,FM / SL,,2069591
822,Vespa crabro 1%,Crème 25 g,Lieferbar,,100655,7846795,7611916161766,FM / nach ALT,,
823,Vespa crabro D3,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: D6),,120009,5313293,7611916117510,B / SL,59981,8x2070631
824,Vespa crabro D6,Injektionslösung 8 Amp.,Lieferbar,,120011,4105457,7611916117558,B / SL,59981,8x2070631
825,Vipera berus D12,Injektionslösung 8 Amp.,Lieferbar,,124345,4105486,7611916151767,B / SL,404633,8x2070654
826,Viscum Mali 10%,Crème 25 g,Lieferbar,,124985,7807127,7611916161131,FM / nach ALT,,
827,Viscum Mali Ø (= 50%),Tropfen zum Einnehmen 50 ml,Lieferbar,,124772,7801929,7611916161148,FM / SL,,2069591
828,Viscum Mali D6,Injektionslösung 8 Amp.,Gestrichen,,124297,7741110,7611916151286,B,405040,8x2070631
829,Viscum Pini 5%,Unguentum 25 g,Gestrichen (Lieferbar: Viscum Mali 10% Salbe),,100626,5035641,7611916137693,,,2070140
830,Visiodoron Malva®,Augentropfen 10 ml,Lieferbar,,2760,7815608,4001638165532,MD / -,,
831,Visiodoron Malva® Monodosen,Augentropfen 20×0.4 ml,Lieferbar,,2766,5860138,4001638065269,MD / -,,
832,Vitis comp.,Kautabletten 50 g,Lieferbar,,124505,5142443,7611916153266,D / SL,59920,2070275
833,Vivianit D6,Pulver zum Einnehmen 50 g,Lieferbar,,124738,1033473,7611916162817,FM / nach ALT,,
834,Wecesin®,Puder 50 g,Lieferbar,,4805,7233575,7680246080023,D / -,24608,
835,Zincum valerianicum D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,124986,7798070,7611916164231,B / SL,418825,2069674
836,Zincum valerianicum D4,Tropfen zum Einnehmen 50 ml,Gestrichen (Lieferbar: D3),,124666,7798071,7611916159947,D,417383,2069674
837,Zincum valerianicum D6,Tropfen zum Einnehmen 50 ml,Gestrichen (Lieferbar: D3),,124667,7798072,7611916159954,D,417383,2069674
838,"Zinn-Textil-Folie, ORBIS",,Lieferbar,,77740,7767327,7611916357800,,,
839,Zinnober D6,Pulver zum Einnehmen 50 g,Lieferbar,,206014,1027357,7611916162053,FM / nach ALT,,
840,Zinnober D20,Pulver zum Einnehmen 50 g,Lieferbar,,124739,7846794,7611916162046,FM / nach ALT,,
841,Zinnober comp.,Pulver zum Einnehmen 50 g,Lieferbar,,124949,5068310,7611916154034,D / -,59914,
842,Naturweisheit Meine Nacht,Kapseln 46 st,Lieferbar,,6288CH,7810647,7611916460807,,,
843,Naturweisheit Meine Immunformel,Kapseln 46 st,Gestrichen,,6602CH,7810649,7611916460791,,,
844,Naturweisheit Meine Vitalquelle,Kapseln 46 st,Gestrichen,,6601CH,7810648,7611916460821,,,
845,"Naturweisheit Meine Haare, Wimpern & Nägel",Kapseln 46 st,Lieferbar,,6289CH,7810650,7611916460814,,,
847,Euphrasia Augentropfen Monodosen,,,Visiodoron Euphrasia® Monodosen,,,,,,
848,Formica D30 Ampullen,,,Acidum Formicae D30,,,,,,
849,"Arnica, Planta tota D20 / Betula, Cortex D3 aa",Injektionslösung 8 Amp.,Lieferbar,,124455,7851210,7611916161667,B / SL,68351,8 x 2070588
850,Menodoron®,,,Capsella / Majorana comp.,,,,,,
851,Rheumadoron®,,,Aconitum / Arnica / Betula comp.,,,,,,
856,Euphrasia® Augentropfen,,,Visiodoron Euphrasia®,,,,,,
857,Compositio Mineralis cum Myrrha D1,Pulver zum Einnehmen 50 g,Nicht lieferbar (Compositio Mineralis cum Myrrha D2 und D3 lieferbar.),,124713,1045185,7611916163883,FM / nach ALT,,
858,Compositio Mineralis cum Myrrha D2,Pulver zum Einnehmen 50 g,Lieferbar,,124714,1045186,7611916163906,FM / nach ALT,,
859,Compositio Mineralis cum Myrrha D3,Pulver zum Einnehmen 50 g,Lieferbar,,206099,1045187,7611916163913,FM / nach ALT,,
860,Sinudoron®,,,Argentum / Berberis comp.,,,,,,
861,Naturweisheit Meine Bakterienkulturen,Kapseln 40 st,Lieferbar,,6290CH,1030859,7611916162251,,,
862,Naturweisheit Mein Bauchgefühl,Kapseln 46 st,Gestrichen,,6292CH,1030858,7611916162268,,,
863,Bolus Gurgelpulver,,,Eucalyptus comp.,,,,,,
865,Dermatodoron Tropfen,,,Dulcamara / Lysimachia Tropfen,,,,,,
866,Pulvis stomachicus cum Belladonna,,,Antimonit / Belladonna comp.,,,,,,
867,Scleron,,,Plumbum mellitum D12,,,,,,
868,Apis D6 / Belladonna D6 aa,Tropfen zum Einnehmen 50 ml,Lieferbar,,206104,1104933,7611916164330,FM / SL,,2070329
869,Dermatodoron Salbe,,,Dulcamara / Lysimachia Crème,,,,,,
870,Visiodoron Euphrasia comp.®,Augensalbe 5 g,Lieferbar,,5590,1049032,7680688250015,D / -,68825,
872,Thyreodoron,,,Chelidonium / Colchicum / Spongia,,,,,,
873,Otidoron,,,Levisticum H 10%,,,,,,
874,"Rheum rhaponticum 0,4% (2g)",Vaginalzäpfchen 10 st,Lieferbar,,124992,1119054,7611916164545,FM / nach ALT,,
875,Ferrum pomatum D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,206106,1133084,7611916164941,FM / SL,,2069734
876,Visiodoron Malva® Intense,Augentropfen 10 ml,Lieferbar,,2770,1125171,4001638590303,MD / -,,
877,Ferrum sesquichloratum D8,Tropfen zum Einnehmen 50 ml,Lieferbar,,205415,1133775,7611916165207,FM / SL,,2069674
878,Cuprum Metallspiegelfolie,,,"Kupfer-Textil-Folie, ORBIS",,,,,,
879,"Amara-Tropfen, Weleda",Tropfen zum Einnehmen 20 ml,Lieferbar,,5010,1133131,7680117870012,D / -,11787,
880,"Levisticum, Folium D2",Pulver zum Einnehmen 50 g,Lieferbar,,124891,1153055,7611916165641,FM / nach ALT,,
881,"Levisticum, Folium D3",,Lieferbar,,124892,1153056,7611916165658,FM / nach ALT,,
882,Cerussit D8,Pulver zum Einnehmen 50 g,Lieferbar,,124746,1153057,7611916165719,FM / nach ALT,,
883,Aloe-Myrrhe 5%,Gel 25 g,Nicht lieferbar,,124890,1153053,7 611916 165733,FM / nach ALT,,
884,Cinis Capsellae comp.,Gel 30 ml,Lieferbar,,124176,1189836,7611916165726,FM / nach ALT,,
