id,name,darreichung,status,verweis,artikelnummer,pharmacode,ean,abgabekategorie,zulassungsnummer,csl
518,Lachesis D12,Tropfen zum Einnehmen 50 ml,Lieferbar,,205958,7682735,7611916159985,FM / SL,,2069734
519,Lachesis D20,Injektionslösung 8 Amp.,Lieferbar,,110007,4132193,7611916111426,B / SL,405042,8x2070654
520,Ledum palustre D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,124843,5123919,7611916146428,FM / SL,,2069674
521,Leonurus cardiaca D1,Tropfen zum Einnehmen 50 ml,Lieferbar,,124805,5123931,7611916146459,FM / SL,,2069674
522,Levico D1,Tropfen zum Einnehmen 50 ml,Lieferbar,,124950,6706244,7611916154041,D / SL,59506,2069674
523,Levico D3,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,110023,4132247,7611916111587,B / SL,59989,8x2070631
524,Levico D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,124951,5059469,7611916154058,D / SL,59506,2069674
525,"Levisticum, ethanol. Decoctum D3",Tropfen zum Einnehmen 50 ml,Lieferbar,,124898,7837487,7611916162084,FM / SL,,2069674
526,Levisticum Rh D3,Tropfen zum Einnehmen 20 ml,Lieferbar,,110031,1366855,7611916111662,D / SL,404626,2069651
527,"Levisticum, ethanol. Decoctum D3",Globuli 4 g,Lieferbar,,100395,1127079,7611916164163,FM / SL,,2069645
528,Levisticum H 10%,Ohrentropfen 10 ml,Lieferbar,,115026,7808559,7611916161223,FM / nach ALT,,
529,Lichenes comp.,Sirup 100 ml,Lieferbar,,124921,1166331,7611916164811,D / -,59298,
530,Lobelia comp.,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: als Dilution),,110036,4132276,7611916111679,B,59988,8x2070565
531,Lobelia comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,124172,1109608,7611916163746,D / SL,418547,2070329
532,Lycopodium D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,205563,5124847,7611916146565,FM / SL,,2069674
533,Magnesit 5%,Pulver zum Einnehmen 50 g,Lieferbar,,124744,1001347,7611916162732,FM / SL,,2069591
535,Magnesium phosphoricum D6,Tabletten 50 g,Lieferbar,,124524,5059386,7611916153457,D / SL,415134,2069674
536,Magnesium phosphoricum acidum D4,Tropfen zum Einnehmen 50 ml,Gestrichen (Lieferbar: D6),,205962,7772901,7611916160479,,,2069674
537,Magnesium phosphoricum acidum D6,Injektionslösung 8 Amp.,Lieferbar,,111002,4134217,7611916111990,B / SL,59598,8x2070631
538,Magnesium phosphoricum acidum D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,124173,7854123,7611916163739,D / SL,418449,2069674
539,Magnesium phosphoricum acidum / Tabacum,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,111004,4134200,7611916112010,B / SL,404610,8x2070588
540,Majorana 10%,Crème 25 g,Gestrichen (Majorana / Melissa Vaginaltbl. lieferbar),,111019,7824343,7611916161483,FM / nach ALT,,
541,Majorana / Melissa,Vaginaltabletten 10 st,Lieferbar,,124533,5059392,7611916153594,D / SL,404661,10x2070559
